filename Ptrue Pbrani Pjames RRtype
ps1_-3705565291837614445cleaned.txt 0.395283 0.397120 0.419348 c
ps1_-3716278933138646993cleaned.txt 0.602280 0.602240 0.602219 ab
ps1_-3716278933138647047cleaned.txt 0.565397 0.565395 0.286067 ab
ps1_-3716314117510733117cleaned.txt 0.797848 0.797830 0.797855 ab
ps1_-3716331709696668811cleaned.txt 0.505989 0.505975 0.363594 ab
ps1_-3716366894068826154cleaned.txt 0.682794 0.682788 1.361980 ab
ps1_-3723650059091228642cleaned.txt 0.631356 0.631410 1.484475 ab
ps1_-3723702835649359831cleaned.txt 0.467452 0.467455 0.279032 ab
ps1_-3734381292578293437cleaned.txt 0.601053 0.730979 0.676820 ab
ps1_-3741558904484487713cleaned.txt 0.505347 0.502570 0.503319 ab
ps1_-3741734826344884347cleaned.txt 0.567901 0.567885 10.419273 ab
ps1_-3759643671737542352cleaned.txt 0.603993 0.603952 0.275735 ab
ps1_-3759749224854271692cleaned.txt 0.585401 0.581595 1.105804 ab
ps1_-3770339720853059842cleaned.txt 0.585824 0.585801 0.455544 ab
ps1_-3777570109317146685cleaned.txt 0.658609 0.658561 1.308079 ab
ps1_-3777693254619569744cleaned.txt 0.495868 0.495865 0.248100 ab
ps1_-3795690060942718710cleaned.txt 0.566207 0.566220 0.947356 ab
ps1_-3806474070988402941cleaned.txt 0.499788 0.499790 6.574836 ab
ps1_-3813634090708205337cleaned.txt 0.502026 0.502016 0.503420 ab
ps1_-3813862789126891024cleaned.txt 0.344819 0.344819 0.344820 c
ps1_-3813880381312672428cleaned.txt 0.564230 0.564233 1.272056 ab
ps1_-3813897973498716013cleaned.txt 0.254146 0.618013 0.254148 c
ps1_-3813915565684760284cleaned.txt 0.491285 0.491286 0.420808 ab
ps1_-3849733256471446089cleaned.txt 0.500316 0.500295 3.429014 ab
ps1_-3849786033029656395cleaned.txt 0.495829 0.495813 0.472416 ab
ps1_-3867976353399244621cleaned.txt 0.575207 0.575204 2.031217 ab
ps1_-3878320558793618120cleaned.txt 0.563839 0.563856 0.263832 ab
ps1_-3885762053490416560cleaned.txt 0.297828 0.268594 0.205946 c
